名次,学校名称,所在地区,类型,总分,科学研究,人才培养,综合声誉,办学类型,星级排名,办学层次
432,太原师范学院,山西,师范,61.38,60.09,62.89,60.16,应用型,-,-
432,天津农学院,天津,农林,61.38,60.1,62.91,60,应用型,-,-
432,南阳师范学院,河南,师范,61.38,60.12,62.89,60,应用型,-,-
432,天水师范学院,甘肃,师范,61.38,60.11,62.9,60,应用型,-,-
432,大理学院,云南,综合,61.38,60.06,62.94,60,应用型,-,-
432,伊犁师范学院,新疆,师范,61.38,60.1,62.9,60,应用型,-,-
441,长春大学,吉林,综合,61.37,60.04,62.9,60.16,应用型,-,-
441,九江学院,江西,综合,61.37,60.06,62.9,60.16,应用型,-,-
441,重庆文理学院,重庆,综合,61.37,60.1,62.89,60,应用型,-,-
441,浙江科技学院,浙江,理工,61.37,60.1,62.89,60,应用型,-,-
441,德州学院,山东,综合,61.37,60.06,62.92,60,应用型,-,-
441,成都学院,四川,综合,61.37,60.06,62.93,60,应用型,-,-
441,济宁医学院,山东,医药,61.37,60.04,62.94,60,应用型,-,-
441,淮海工学院,江苏,理工,61.37,60.04,62.93,60,应用型,-,-
441,湛江师范学院,广东,师范,61.37,60.07,62.92,60,应用型,-,-
441,皖西学院,安徽,师范,61.37,60.08,62.89,60,应用型,-,-
441,盐城工学院,江苏,理工,61.37,60.08,62.9,60,应用型,-,-
441,河北北方学院,河北,医药,61.37,60.04,62.94,60,应用型,-,-
441,贵阳中医学院,贵州,医药,61.37,60,62.99,60,应用型,-,-
441,重庆三峡学院,重庆,综合,61.37,60.1,62.89,60,应用型,-,-
441,北华航天工业学院,河北,理工,61.37,60.01,62.97,60,应用型,-,-
456,东莞理工学院,广东,理工,61.36,60.04,62.89,60.16,应用型,-,-
456,绵阳师范学院,四川,师范,61.36,60.06,62.92,60,应用型,-,-
456,河西学院,甘肃,综合,61.36,60.04,62.92,60,应用型,-,-
456,北京电子科技学院,北京,理工,61.36,60,62.89,60.33,应用型,-,-
456,贵州师范学院,贵州,师范,61.36,60.09,62.45,61.81,应用型,-,-
456,安徽科技学院,安徽,师范,61.36,60.02,62.89,60.16,应用型,-,-
456,宜宾学院,四川,综合,61.36,60.04,62.89,60.16,应用型,-,-
456,上海第二工业大学,上海,理工,61.36,60.04,62.92,60,应用型,-,-
456,山西中医学院,山西,医药,61.36,60.08,62.89,60,应用型,-,-
456,北京石油化工学院,北京,理工,61.36,60.06,62.9,60,应用型,-,-
456,长沙学院,湖南,理工,61.36,60.06,62.9,60,应用型,-,-
456,河南财经政法大学,河南,财经,61.36,60.23,62.75,60,应用型,-,-
456,华北科技学院,河北,理工,61.36,60.05,62.92,60,应用型,-,-
456,衡阳师范学院,湖南,师范,61.36,60.06,62.89,60,应用型,-,-
456,牡丹江师范学院,黑龙江,师范,61.36,60.02,62.95,60,应用型,-,-
456,曲靖师范学院,云南,师范,61.36,60.05,62.9,60,应用型,-,-
472,中国民用航空飞行学院,四川,理工,61.35,60,62.9,60.16,应用型,-,-
472,潍坊学院,山东,综合,61.35,60.02,62.89,60.16,应用型,-,-
472,湖北文理学院,湖北,综合,61.35,60.05,62.89,60,应用型,-,-
472,长江师范学院,重庆,师范,61.35,60.06,62.89,60,应用型,-,-
